dataset,condition,layer,target_position,alpha,direction_type,n_seeds,mean_restoration_rate,std_restoration_rate,min_restoration_rate,max_restoration_rate,mean_loss_rate,std_loss_rate
harmful,harmful_k03,16,0,1.0,orthogonal,5,0.016,0.021908902300206645,0.0,0.04,0.0,0.0
harmful,harmful_k03,16,0,1.0,random,5,0.016,0.021908902300206645,0.0,0.04,0.0,0.0
harmful,harmful_k03,16,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,16,0,2.0,orthogonal,5,0.024,0.03577708763999664,0.0,0.08,0.016,0.021908902300206645
harmful,harmful_k03,16,0,2.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.008,0.01788854381999832
harmful,harmful_k03,16,0,2.0,refusal,1,0.04,,0.04,0.04,0.0,
harmful,harmful_k03,16,1,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,16,1,1.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,16,1,1.0,refusal,1,0.04,,0.04,0.04,0.0,
harmful,harmful_k03,16,1,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,16,1,2.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,16,1,2.0,refusal,1,0.0,,0.0,0.0,0.04,
harmful,harmful_k03,16,3,1.0,orthogonal,5,0.016,0.021908902300206645,0.0,0.04,0.016,0.021908902300206645
harmful,harmful_k03,16,3,1.0,random,5,0.0,0.0,0.0,0.0,0.016,0.021908902300206645
harmful,harmful_k03,16,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,16,3,2.0,orthogonal,5,0.024,0.021908902300206645,0.0,0.04,0.016,0.021908902300206645
harmful,harmful_k03,16,3,2.0,random,5,0.0,0.0,0.0,0.0,0.016,0.021908902300206645
harmful,harmful_k03,16,3,2.0,refusal,1,0.08,,0.08,0.08,0.0,
harmful,harmful_k03,24,0,1.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,0,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,24,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,24,0,2.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,0,2.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.008,0.017888543819998316
harmful,harmful_k03,24,0,2.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,24,1,1.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,1,1.0,random,5,0.016,0.021908902300206645,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,1,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,24,1,2.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,1,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,24,1,2.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,24,3,1.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,3,1.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,24,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,24,3,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,24,3,2.0,random,5,0.0,0.0,0.0,0.0,0.016,0.021908902300206645
harmful,harmful_k03,24,3,2.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,0,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,0,1.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,27,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,0,2.0,orthogonal,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,27,0,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,0,2.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,1,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,1,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,1,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,1,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,1,2.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,27,1,2.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,3,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,3,1.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.0,0.0
harmful,harmful_k03,27,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,
harmful,harmful_k03,27,3,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0
harmful,harmful_k03,27,3,2.0,random,5,0.008,0.01788854381999832,0.0,0.04,0.008,0.017888543819998316
harmful,harmful_k03,27,3,2.0,refusal,1,0.0,,0.0,0.0,0.0,
