source_condition,target_condition,layer,source_position,target_position,mode,n_prompts,restored,lost,unchanged,mean_source_projection,mean_target_projection_before,mean_target_projection_after,restoration_rate,loss_rate
harmful_k00,harmful_k03,16,-1,0,replace,25,1,0,24,4.73625,1.14306640625,4.73625,0.04,0.0
harmful_k00,harmful_k03,16,-1,1,replace,25,0,2,23,4.73625,1.76609375,4.73625,0.0,0.08
harmful_k00,harmful_k03,16,-1,3,replace,25,1,0,24,4.73625,0.656663818359375,4.73625,0.04,0.0
harmful_k00,harmful_k03,16,-1,5,replace,25,0,0,25,4.73625,1.19921875,4.735625,0.0,0.0
harmful_k00,harmful_k03,24,-1,0,replace,25,2,2,21,9.82875,-0.0956982421875,9.775,0.08,0.08
harmful_k00,harmful_k03,24,-1,1,replace,25,0,4,21,9.82875,-1.9403125,9.76875,0.0,0.16
harmful_k00,harmful_k03,24,-1,3,replace,25,0,1,24,9.82875,-2.13296875,9.77,0.0,0.04
harmful_k00,harmful_k03,24,-1,5,replace,25,1,0,24,9.82875,-2.157265625,9.775,0.04,0.0
harmful_k00,harmful_k03,27,-1,0,replace,25,0,0,25,12.97625,-1.308544921875,12.915,0.0,0.0
harmful_k00,harmful_k03,27,-1,1,replace,25,1,2,22,12.97625,-3.22125,12.89875,0.04,0.08
harmful_k00,harmful_k03,27,-1,3,replace,25,1,0,24,12.97625,-3.11703125,12.90375,0.04,0.0
harmful_k00,harmful_k03,27,-1,5,replace,25,1,0,24,12.97625,-3.5077734375,12.895,0.04,0.0
