dataset,condition,layer,target_position,alpha,direction_type,n_seeds,mean_restoration_rate,std_restoration_rate,min_restoration_rate,max_restoration_rate,mean_loss_rate,mean_ci_lo,mean_ci_hi
benign,benign_k00,16,0,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,0,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,0,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,0,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,0,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,1,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,16,3,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,0,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,1,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,24,3,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,0,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,1,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,1.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,1.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,1.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,2.0,orthogonal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,2.0,random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign,benign_k00,27,3,2.0,refusal,1,0.0,,0.0,0.0,0.0,0.0,0.0
