method,layer,target_position,n_prompts,restored,lost,unchanged,restoration_rate,loss_rate
report6_same_condition_attacked_source,16,1,10,0,0,10,0.0,0.0
report6_same_condition_attacked_source,16,3,10,0,0,10,0.0,0.0
report6_same_condition_attacked_source,16,5,10,0,0,10,0.0,0.0
report6_same_condition_attacked_source,24,1,10,0,1,9,0.0,0.1
report6_same_condition_attacked_source,24,3,10,0,1,9,0.0,0.1
report6_same_condition_attacked_source,24,5,10,0,0,10,0.0,0.0
report6_same_condition_attacked_source,27,1,10,0,1,9,0.0,0.1
report6_same_condition_attacked_source,27,3,10,0,0,10,0.0,0.0
report6_same_condition_attacked_source,27,5,10,0,0,10,0.0,0.0
report7_baseline_source_cross_condition,16,0,25,1,0,24,0.04,0.0
report7_baseline_source_cross_condition,16,1,25,0,2,23,0.0,0.08
report7_baseline_source_cross_condition,16,3,25,1,0,24,0.04,0.0
report7_baseline_source_cross_condition,16,5,25,0,0,25,0.0,0.0
report7_baseline_source_cross_condition,24,0,25,2,2,21,0.08,0.08
report7_baseline_source_cross_condition,24,1,25,0,4,21,0.0,0.16
report7_baseline_source_cross_condition,24,3,25,0,1,24,0.0,0.04
report7_baseline_source_cross_condition,24,5,25,1,0,24,0.04,0.0
report7_baseline_source_cross_condition,27,0,25,0,0,25,0.0,0.0
report7_baseline_source_cross_condition,27,1,25,1,2,22,0.04,0.08
report7_baseline_source_cross_condition,27,3,25,1,0,24,0.04,0.0
report7_baseline_source_cross_condition,27,5,25,1,0,24,0.04,0.0
report7_additive_refusal_alpha_1,16,0,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,16,0,25,1,0,24,0.04,0.0
report7_additive_refusal_alpha_1,16,1,25,1,0,24,0.04,0.0
report7_additive_refusal_alpha_2,16,1,25,0,1,24,0.0,0.04
report7_additive_refusal_alpha_1,16,3,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,16,3,25,2,0,23,0.08,0.0
report7_additive_refusal_alpha_1,24,0,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,24,0,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_1,24,1,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,24,1,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_1,24,3,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,24,3,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_1,27,0,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,27,0,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_1,27,1,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,27,1,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_1,27,3,25,0,0,25,0.0,0.0
report7_additive_refusal_alpha_2,27,3,25,0,0,25,0.0,0.0
