condition,layer,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k00,16,25,428,1.6052166234667056,1.344424987299021,-1.7421875,5.9375,all_positions
harmful_k00,20,25,428,2.0563686406500987,2.2048659448140633,-2.75,8.9375,all_positions
harmful_k00,24,25,428,1.4386328581337617,3.410758603487342,-6.5625,11.5,all_positions
harmful_k00,27,25,428,0.9270049478406104,4.4784849584670186,-9.75,15.25,all_positions
harmful_k03,16,25,1149,0.6550269595844213,1.1311236207900441,-1.84375,3.828125,all_positions
harmful_k03,20,25,1149,0.10377219908127482,1.5242285581266157,-3.265625,5.0,all_positions
harmful_k03,24,25,1149,-2.238514819697155,2.1003405897718284,-7.15625,5.0625,all_positions
harmful_k03,27,25,1149,-3.8163607259539547,2.6181641710626242,-10.0625,4.1875,all_positions
harmful_k10,16,25,1071,0.23605519071235265,1.1891795531804046,-2.125,3.734375,all_positions
harmful_k10,20,25,1071,-0.35657201138308514,1.5788039090162735,-3.578125,5.09375,all_positions
harmful_k10,24,25,1071,-2.639876564232464,2.22388540379101,-7.9375,5.34375,all_positions
harmful_k10,27,25,1071,-4.31024130029616,2.9655866757309477,-10.25,3.984375,all_positions
