condition,layer,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k00,16,25,403,1.2711317947425558,1.2455928755002355,-2.5625,4.46875,generated_tokens
harmful_k00,20,25,403,1.6116638940853754,1.9312537278841397,-3.625,6.28125,generated_tokens
harmful_k00,24,25,403,0.6654692240447619,3.0966129844281607,-8.125,5.6875,generated_tokens
harmful_k00,27,25,403,-0.3761074927545363,3.9459260075122713,-12.25,5.21875,generated_tokens
harmful_k03,16,25,1124,0.17231744421758685,1.24204380666801,-2.671875,3.5625,generated_tokens
harmful_k03,20,25,1124,-0.374242789380491,1.5867546171466889,-3.96875,4.9375,generated_tokens
harmful_k03,24,25,1124,-3.1102096075689243,2.2014910419505664,-8.375,5.0625,generated_tokens
harmful_k03,27,25,1124,-5.2851506026189945,2.842640448944125,-12.25,3.890625,generated_tokens
harmful_k10,16,25,1046,-0.2704122773092062,1.3178638331634196,-2.96875,3.84375,generated_tokens
harmful_k10,20,25,1046,-0.822312907552628,1.6840974043602839,-4.40625,5.21875,generated_tokens
harmful_k10,24,25,1046,-3.462938822934094,2.429671112826961,-9.3125,5.5,generated_tokens
harmful_k10,27,25,1046,-5.810834560066063,3.2549561495936783,-12.5,3.90625,generated_tokens
