condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k00,16,0,25,25,3.506875,0.44405615905629925,2.421875,4.46875,generated_token
harmful_k00,16,1,25,25,2.2303125,0.4611808591330836,1.0,3.078125,generated_token
harmful_k00,16,2,25,25,2.081171875,0.46775137767660224,0.451171875,2.453125,generated_token
harmful_k00,16,3,25,25,1.83677734375,0.5326253165060811,0.09716796875,2.203125,generated_token
harmful_k00,16,4,25,25,2.12875,0.8513119614242846,-0.6171875,2.765625,generated_token
harmful_k00,16,5,25,25,1.875546875,0.8208028668269904,-0.828125,2.546875,generated_token
harmful_k00,16,6,25,25,1.865,0.8074379382775632,-0.68359375,2.84375,generated_token
harmful_k00,16,7,20,20,1.50107421875,1.0728872719781002,-0.123046875,2.75,generated_token
harmful_k00,16,8,14,14,0.7677176339285714,0.6521469073256315,-1.078125,1.4453125,generated_token
harmful_k00,16,9,14,14,0.8872767857142857,0.5311104727487426,-0.80859375,1.3046875,generated_token
harmful_k00,16,10,14,14,0.7525111607142857,0.8954402439078372,-2.171875,1.75,generated_token
harmful_k00,16,11,14,14,0.5198102678571429,0.8512322714027275,-2.046875,1.765625,generated_token
harmful_k00,16,12,14,14,0.6452287946428571,0.7384933077524943,-1.578125,1.890625,generated_token
harmful_k00,16,13,14,14,0.552734375,0.6125750964253419,-1.5234375,1.0546875,generated_token
harmful_k00,16,14,14,14,0.4237583705357143,0.7209541399202113,-1.8203125,1.59375,generated_token
harmful_k00,16,15,14,14,0.6297433035714286,0.5313157063779603,-0.62109375,1.640625,generated_token
harmful_k00,16,16,14,14,0.9806082589285714,0.21797120591257432,0.279296875,1.1953125,generated_token
harmful_k00,16,17,7,7,1.0440848214285714,0.6671295375667107,-0.45703125,1.4375,generated_token
harmful_k00,16,18,4,4,1.1962890625,0.84056337265388,0.71875,2.453125,generated_token
harmful_k00,16,19,4,4,1.1572265625,0.565209538587032,0.62890625,1.6953125,generated_token
harmful_k00,16,20,4,4,0.7001953125,0.39292778271794504,0.421875,1.265625,generated_token
harmful_k00,16,21,4,4,0.47607421875,0.6248176308639016,-0.419921875,0.91015625,generated_token
harmful_k00,16,22,4,4,0.7265625,0.1992059840681039,0.46484375,0.9375,generated_token
harmful_k00,16,23,4,4,0.54638671875,0.26181772362864825,0.283203125,0.82421875,generated_token
harmful_k00,16,24,3,3,0.912109375,0.7094953392902658,0.384765625,1.71875,generated_token
harmful_k00,16,25,3,3,1.0169270833333333,0.5711190429875551,0.51953125,1.640625,generated_token
harmful_k00,16,26,3,3,0.7962239583333334,0.3003010404995797,0.466796875,1.0546875,generated_token
harmful_k00,16,27,3,3,0.9309895833333334,0.08234068621751238,0.8359375,0.98046875,generated_token
harmful_k00,16,28,3,3,0.9205729166666666,0.2695689889038534,0.61328125,1.1171875,generated_token
harmful_k00,16,29,2,2,0.6962890625,0.28035679019701004,0.498046875,0.89453125,generated_token
